"","ID","Fuel_Type","Station_Na","Street_Add","Intersecti","City","State","ZIP","Status_Cod","Groups_Wit","Expected_D","Access_Day","Cards_Acce","NG_Fill_Ty","NG_PSI","Latitude","Longitude","Date_Last","Updated_At","Owner_Type","Federal_Ag","Federal__1","Open_Date","NG_Vehicle","ID_2"
"17",834,"CNG","PG&E Santa Rosa Service Center","3965 Occidental Rd","Exit Highway 101 and Highway 12, go west and exit at Stony Point Road, across intersection on Occidental Road, and the station is on the right.","Santa Rosa","CA",95401,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","B",0,38.4286463,-122.7669412,2017-06-02,"2017-06-02 16:57:33 UTC","T","NA","NA","NA","HD","17"
"18",842,"CNG","PG&E Florin-Perkins Service Center","5555 Florin-Perkins Rd","Exit Highway 50 at Howe Avenue/Power Inn Road, south on Power Inn, left on Fruitridge Road, enter the facility on Fruitridge Road on the left past Florin-Perkins Rd intersection; enter through gate #4.","Sacramento","CA",95826,"E","Public - Card key at all times","NA","8am-4pm M-F; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","Q",0,38.526126,-121.388521,2017-06-02,"2017-06-02 16:57:12 UTC","T","NA","NA","NA","HD","18"
"19",939,"CNG","Chula Vista Education Center","84 E J St","Exit I-805 at East H St, west on H, left on Hilltop Dr, left on J St, station on right, east of Arthur Ave.","Chula Vista","CA",91910,"E","Public","NA","5:30am-5pm M-F","Cash","B",3000,32.631424,-117.0580422,2017-07-06,"2017-07-06 17:27:49 UTC","P","NA","NA","NA","HD","19"
"20",945,"CNG","Poway Unified School District","13626 Twin Peaks Rd","Exit I-15 at Ted Williams Parkway, east 1 mile, turn right on Twin Peaks Road, 1 mile to school district center, station on left, west of Tiera Bonita Road.","Poway","CA",92064,"E","Public - Credit card at all times","NA","6am-6pm M-F (except holidays)","M V","B",0,32.9787858,-117.0358683,2017-05-04,"2017-05-04 13:18:24 UTC","LG","NA","NA","NA","HD","20"
"21",982,"CNG","Clean Energy - Waste Management - Moreno Valley","17700 Indian Ave","NA","Moreno Valley","CA",92551,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,33.862772,-117.234706,2017-07-06,"2017-12-20 16:06:26 UTC","P","NA","NA","NA","HD","21"
"22",995,"CNG","Clean Energy - Santa Monica SoCal Gas Station","1701 Stewart St","Exit I-10 at Centinella Blvd, left/north on Centinella, left/west on Olympic Blvd, right/north on Stewart St, and station is on the right","Santa Monica","CA",90404,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,34.031049,-118.466894,2015-03-04,"2017-12-07 19:26:42 UTC","P","NA","NA","NA","HD","22"
"23",997,"CNG","Clean Energy - LA County Sanitation District","13130 Crossroads Pkwy S","NA","City of Industry","CA",91746,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy Voyager Wright_Exp","Q",0,34.027723,-118.01633,2016-06-30,"2017-05-26 18:42:34 UTC","LG","NA","NA","NA","HD","23"
"24",1006,"CNG","SoCalGas - Van Nuys Base","16645 Saticoy St","Exit I-405 at Sherman Way, west on Sherman to Havenhurst Ave, north on Havenhurst, left on Saticoy Ave, and the station is on the right","Los Angeles","CA",91406,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",3600,34.208433,-118.496549,2017-09-06,"2017-09-06 15:29:20 UTC","T","NA","NA","NA","HD","24"
"25",1009,"CNG","City of Covina - City Corporate Yard","534 N Barranca Ave","Exit I-10 at Barranca Ave and go north, station is just past San Bernardino Rd on the right","Covina","CA",91723,"E","Public - Credit card at all times","NA","6am-4:30pm M-Th","A D M V Voyager Wright_Exp","Q",0,34.0914803,-117.8809546,2017-05-04,"2017-05-04 13:18:13 UTC","LG","NA","NA","NA","HD","25"
"26",1013,"CNG","Titan NGV Fueling - South Coast Air Quality Management District","21865 Copley Dr","Off Hwy 60; take the Grand Ave Exit and turn right onto Golden Spring Drive; or take the Brea Canyon Exit and turn left onto Golden Spring Drive.  Head toward the SCQMD and turn onto Copley Drive at the stop light.  Turn at the first entrance on the righ","Diamond Bar","CA",91765,"E","Public - Credit card at all times","NA","24 hours daily; station can accommodate heavy-duty vehicles, except 50 ft tractor-trailers. See http://www.titanngv.com/ for more details.","A D M V FuelMan Voyager Wright_Exp Comdata","Q",0,34.002107,-117.8290451,2017-05-04,"2017-05-04 13:17:47 UTC","LG","NA","NA","NA","HD","26"
"27",1014,"CNG","SunLine Transit Agency","32505 Harry Oliver Trail","Exit I-10 at Ramon Road, go east on Ramon, east on Warner, north on Harry Oliver Trail, station on left.","Thousand Palms","CA",92276,"E","Public - Credit card at all times","NA","24 hours daily","M V Voyager Wright_Exp","Q",0,33.8153399,-116.3942833,2017-06-02,"2017-06-02 16:23:07 UTC","P","NA","NA","NA","HD","27"
"28",1022,"CNG","Clean Energy - Irvine City Yard","6427 Oak Canyon","Exit I-5 at Sand Canyon Rd south on Sand Canyon, right on Oak Canyon, and station is in the City yard facility on the right.","Irvine","CA",92618,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,33.675194,-117.765146,2017-07-06,"2017-07-06 17:16:52 UTC","P","NA","NA","NA","HD","28"
"29",1032,"CNG","Antelope Valley School Bus Transit","670 West Ave L-8","A half a block south of W Avenue, L-14.","Lancaster","CA",93534,"E","Public - Credit card at all times","NA","24 hours daily","M V Voyager Wright_Exp","Q",0,34.653024,-118.142653,2017-06-02,"2017-06-02 16:57:28 UTC","LG","NA","NA","NA","HD","29"
"30",1083,"CNG","Clean Energy - RTC Losee","3333 Losee Rd","I-15, exit onto Cheyenne Ave E, right on Losee Rd, and left on Sharp Cir","North Las Vegas","NV",89124,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FleetOne FuelMan Voyager Wright_Exp","Q",0,36.220567,-115.125553,2017-08-02,"2017-08-02 18:48:57 UTC","LG","NA","NA","NA","HD","30"
"31",1251,"CNG","Clean Energy - Los Angeles International Airport","10400 Aviation Blvd","Exit I-405 at Century Blvd, west toward LAX, left on Aviation Blvd, station at corner of 104th St on left","Los Angeles","CA",90045,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,33.941383,-118.378485,2017-07-06,"2017-07-06 17:16:53 UTC","P","NA","NA","NA","HD","31"
"32",1286,"CNG","Washington Elementary School District","12641 N 39th Ave","I-17 N to Cactus, west to 39th Ave, north on 39th, pumps are at the Service Center","Phoenix","AZ",85029,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",0,33.6013089,-112.1419547,2017-09-06,"2017-09-06 15:17:54 UTC","LG","NA","NA","NA","HD","32"
"33",1347,"CNG","PG&E Chico Service Center","11239 Midway","Exit Hwy 99 at Park Ave., then go west to Midway and turn south (left). Station on right.","Chico","CA",95928,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","Q",0,39.7113071,-121.8120554,2017-06-02,"2017-06-02 16:57:36 UTC","T","NA","NA","NA","HD","33"
"34",1349,"CNG","PG&E Vacaville Service Center","158 Peabody Rd","Exit I-80 at Peabody E or Mason Road/Travis AFB W. From I-80 W, right on Mason and bear right, right on Peabody, and the station is on the right.","Vacaville","CA",95687,"E","Public","NA","24 hours daily; PG&E payment card only. Contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information.","NA","Q",0,38.3507074,-121.9776818,2017-06-02,"2017-06-02 16:57:34 UTC","T","NA","NA","NA","HD","34"
"35",1359,"CNG","City of Banning","176 E Lincoln St","NA","Banning","CA",92220,"T","TEMPORARILY UNAVAILABLE (Public - Credit card at all times)","NA","24 hours daily; heavy-duty vehicles must unhitch trailer to reach the dispenser","A D M V Voyager Wright_Exp","Q",0,33.921745,-116.874679,2017-12-05,"2017-12-05 16:31:25 UTC","LG","NA","NA","NA","HD","35"
"36",1370,"CNG","City of Ontario - City Yard","1440 S Cucamonga St","Exit Highway 60 at Euclid, go north, right/east on Francis, left/north on Bon View, access from Cucamonga St","Ontario","CA",91761,"E","Public - Credit card at all times","NA","24 hours daily","M V","Q",3600,34.047068,-117.634077,2017-05-04,"2017-05-04 13:13:13 UTC","LG","NA","NA","NA","HD","36"
"37",7037,"CNG","United Parcel Service","1735 S Turner Ave","Exit I-10 at Haven Ave, go south, right/west on Jurupa St, left/south on Turner. From Highway 60, exit at Archibald Ave, go north, right/east on Jurupa St, right/south on Turner Ave, station is on the left.","Ontario","CA",91761,"E","Public - Card key at all times","NA","24 hours daily; contact station at 909-827-9944 to obtain a FleetStar keycard; Also accepts FleetStar","NA","Q",0,34.0455967,-117.5827754,2017-07-06,"2017-07-06 17:23:18 UTC","P","NA","NA","NA","HD","37"
"38",7041,"CNG","Clean Energy - City of Tulare","3989 S K St","South on Hwy 99, exit at Paige going west, 1 mile to South K St, go 1 mile south; LCNG station","Tulare","CA",93274,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",3600,36.168941,-119.336803,2017-02-01,"2017-02-01 20:06:39 UTC","LG","NA","NA","NA","HD","38"
"39",12799,"CNG","City of Victorville","14201 McArt Rd","NA","Victorville","CA",92392,"E","Public - Credit card at all times","NA","24 hours daily; station can accommodate heavy-duty vehicles with a maximum of 55 feet in length","A D M V","Q",0,34.508713,-117.332343,2017-05-04,"2017-05-04 13:20:53 UTC","LG","NA","NA","NA","HD","39"
"40",12840,"CNG","Kings Canyon Unified School District","1600 S Apple Ave","NA","Reedley","CA",93654,"E","Public - Credit card at all times","NA","8am-9pm M-F","M V Voyager Wright_Exp","Q",0,36.5904606,-119.4282111,2017-10-03,"2017-10-03 16:35:03 UTC","LG","NA","NA","NA","HD","40"
"41",12841,"CNG","City of Delano","725 S Lexington St","From Highway 99, take the exit at Woolomes Ave, turn east on Woolomes (left from southbound, right from northbound and proceed to Lexington), turn right on Lexington St, and the station is on the right.","Delano","CA",93215,"E","Public - Credit card at all times","NA","24 hours daily","D M V Voyager Wright_Exp","Q",0,35.749926,-119.241121,2017-05-04,"2017-05-04 13:18:49 UTC","LG","NA","NA","NA","HD","41"
"42",18943,"CNG","City of Victorville","16690 D St","From I-15 exit at D Street and go east and turn left at the signal at 4th Street, station on left","Victorville","CA",92395,"E","Public - Credit card at all times","NA","24 hours daily; station can accommodate heavy-duty vehicles with a maximum of 40 feet in length","A D M V","Q",0,34.5395233,-117.2981308,2017-05-04,"2017-05-04 13:20:43 UTC","LG","NA","NA","NA","HD","42"
"43",20888,"CNG","Clean Energy - University of New Mexico","1140 University Blvd NE","East of the intersection of University Blvd NE and Camino de Salud.","Albuquerque","NM",87102,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","A D M V CleanEnergy FleetOne FuelMan Voyager Wright_Exp","Q",0,35.093865,-106.626046,2017-11-02,"2017-11-02 17:34:37 UTC","SG","NA","NA","NA","HD","43"
"44",21660,"CNG","Trillium CNG - Mount Diablo Unified School District","2352 Bisso Ln","Exit Highway 242 on Concord Ave, west on Concord Ave 1 block to Bisso Ln, right on Bisso, past Home Depot, and turn into Mt Diablo Service Center Parking.","Concord","CA",94520,"E","Public - Credit card at all times","NA","24 hours daily","M V","Q",0,37.982154,-122.0464,2017-01-11,"2017-12-20 14:12:02 UTC","P","NA","NA","NA","HD","44"
"45",21975,"CNG","Clean Energy - Dallas Fort Worth Airport South","2474 N Employee Rd","At E 30th St, off Airport Service Rd","Grapevine","TX",76051,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,32.876733,-97.039256,2017-08-02,"2017-08-02 18:57:08 UTC","P","NA","NA","NA","HD","45"
"46",21985,"CNG","California Clean Fuels","15330 Woodruff Ave","NA","Bellflower","CA",90706,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","B",3600,33.893163,-118.117297,2017-05-04,"2017-05-04 13:19:21 UTC","P","NA","NA","NA","HD","46"
"47",22795,"CNG","Trillium CNG - Mineta San Jose International Airport","2151 Airport Blvd","At Rental Car Center Road. Station is located past all terminals. Signs will direct you.","San Jose","CA",95110,"E","Public - Credit card at all times","NA","24 hours daily","D M V Trillium","Q",0,37.367444,-121.933097,2016-10-04,"2017-12-08 15:34:02 UTC","LG","NA","NA","NA","HD","47"
"48",23211,"CNG","Questar Gas - Flying J Travel Plaza - Springville","1460 N 1750 W","I-15, exit 261","Springville","UT",84663,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp Comdata","Q",3600,40.187302,-111.642533,2017-06-02,"2017-06-02 16:57:10 UTC","P","NA","NA","NA","HD","48"
"49",23212,"CNG","Questar Gas - 7-Eleven","7953 S Airport Rd","NA","West Jordan","UT",84088,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",3600,40.6075651,-111.9961327,2017-06-02,"2017-06-02 16:57:03 UTC","P","NA","NA","NA","HD","49"
"50",23213,"CNG","Salt Lake City International Airport","600 N 3700 W","I-80, airport exit","Salt Lake City","UT",84116,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",3600,40.781373,-111.979973,2017-08-02,"2017-08-02 19:02:55 UTC","P","NA","NA","NA","HD","50"
"51",23214,"CNG","Alpine School District","490 N State St","NA","Lindon","UT",84042,"E","Public - Credit card at all times","NA","24 hours daily","M V","Q",3600,40.346374,-111.725059,2017-12-05,"2017-12-05 16:34:49 UTC","SG","NA","NA","NA","HD","51"
"52",23215,"CNG","Utah State University","900 E 1400 N","NA","Logan","UT",84341,"E","Public - Credit card at all times","NA","24 hours daily","M V","Q",3600,41.7572483,-111.8114715,2017-12-05,"2017-12-05 16:39:56 UTC","SG","NA","NA","NA","HD","52"
"53",23216,"CNG","Utah Department of Transportation","4501 S 2700 W","Constitution Blvd","West Valley City","UT",84119,"E","Public - Credit card at all times","NA","8am-6pm daily","M V","Q",3600,40.6712254,-111.9567323,2017-12-05,"2017-12-05 16:32:46 UTC","SG","NA","NA","NA","HD","53"
"54",23218,"CNG","Granite School District","3000 Parkway Blvd","NA","West Valley City","UT",84119,"E","Public - Credit card at all times","NA","24 hours daily","M V","Q",3600,40.712201,-111.963404,2017-12-05,"2017-12-05 16:26:56 UTC","SG","NA","NA","NA","HD","54"
"55",23219,"CNG","Questar Gas - City of Murray","4646 S 500 W","Exit 301/I-15","Murray","UT",84123,"E","Public - Credit card at all times","NA","24 hours daily","M V GasCard Wright_Exp","Q",0,40.6716,-111.905686,2017-06-02,"2017-06-02 16:13:39 UTC","LG","NA","NA","NA","HD","55"
"56",25425,"CNG","City of Corona","430 N Cota St","NA","Corona","CA",92880,"E","Public - Credit card at all times","NA","24 hours daily","M V Voyager Wright_Exp","Q",3600,33.8859542,-117.5718998,2017-05-04,"2017-05-04 13:22:24 UTC","LG","NA","NA","NA","HD","56"
"57",25437,"CNG","City of Riverside","8095 Lincoln Ave","From the 91 Freeway, turn off on Adams Auto Center Dr, go east, left on Lincoln, left on Saint Lawrence, station on the left.","Riverside","CA",92504,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager","Q",0,33.92399216,-117.4119492,2017-05-04,"2017-05-04 13:20:58 UTC","LG","NA","NA","NA","HD","57"
"58",25483,"CNG","Clean Energy - San Francisco Airport","790 N McDonnell Rd","At San Bruno Ave, in front of United Airlines maintenance building.","San Francisco","CA",94128,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FleetOne FuelMan Voyager Wright_Exp","Q",0,37.6327433,-122.3983687,2017-07-06,"2017-07-06 17:16:47 UTC","P","NA","NA","NA","HD","58"
"59",25600,"CNG","SoCalGas - Azusa Base","950 N Todd Ave","Exit I-210 at Irwindale Ave, north to Foothill Blvd and turn right, left on N Todd Ave, and the station is on the right","Azusa","CA",91702,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",3600,34.1386428,-117.9239054,2017-09-06,"2017-09-06 15:29:24 UTC","T","NA","NA","NA","HD","59"
"60",25601,"CNG","Trillium CNG - City of Placentia Corporate Yard","2999 E La Jolla St","Exit Highway 57 at E Orangethorpe Ave and go east, turn right on Melrose St, then left on La Jolla St, and the station is on the left.","Anaheim","CA",92806,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Trillium Voyager Wright_Exp","Q",0,33.860731,-117.864306,2017-01-11,"2017-12-20 14:16:12 UTC","P","NA","NA","NA","HD","60"
"61",25763,"CNG","SoCalGas - Lancaster Base","44416 N Division St","From Highway 14 N, exit at 20th St W and proceed north to Avenue J, go right on Avenue J and take Division St, and the station is on the left.","Lancaster","CA",93535,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",3600,34.689589,-118.130371,2017-09-06,"2017-09-06 15:27:08 UTC","T","NA","NA","NA","HD","61"
"62",25875,"CNG","Clean Energy - Tucson International Airport","3034 E Corona Rd","Between S Tucson Blvd and S Country Club Rd","Tucson","AZ",85756,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,32.123171,-110.92722,2017-08-02,"2017-08-02 18:48:36 UTC","P","NA","NA","NA","HD","62"
"63",26314,"CNG","Clean Energy - Yucca Valley - Park n Ride Transit Facility","7485 Kickapoo Trail","At intersection of State Rt 62 and Kickapoo Trail","Yucca Valley","CA",92284,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,34.117227,-116.45764,2017-07-06,"2017-07-06 17:20:28 UTC","P","NA","NA","NA","HD","63"
"64",27973,"CNG","Trillium CNG - City of Berkeley","1101 2nd St","I-580, Exit 12.","Berkeley","CA",94710,"E","Public - Credit card at all times","NA","24 hours daily","A M V Trillium Voyager","Q",0,37.881566,-122.306821,2016-10-04,"2017-12-20 14:06:17 UTC","P","NA","NA","NA","HD","64"
"65",27976,"CNG","Trillium CNG - Visalia Unified School District","2425 W Houston Ave","From CA-99 S, merge onto CA-198 E toward Visalia, take Demaree Street exit, stay straight to go onto W Noble Avenue, turn left onto S Demaree Street/Road 108 and go 1 mile, then turn right on Houston Avenue.","Visalia","CA",93291,"E","Public - Credit card at all times","NA","24 hours daily","M V Trillium","Q",0,36.3419266,-119.3141709,2017-02-01,"2017-02-01 20:09:17 UTC","LG","NA","NA","NA","HD","65"
"66",27978,"CNG","Trillium CNG - Specialty Solid Waste & Recycling","3354 Thomas Rd","Exit Highway 101 W at San Thomas Expressway/Montague Expressway, go north on Montague Expressway, then right on Laurelwood Road, left on Thomas Road, and the station is on the right.","Santa Clara","CA",95054,"E","Public - Credit card at all times","NA","24 hours daily; also accepts Pinnacle Fleet","D M V","B",0,37.3817758,-121.9577843,2016-10-04,"2017-10-16 21:06:28 UTC","P","NA","NA","NA","HD","66"
"67",28177,"CNG","Questar Gas - Sinclair","590 N 1500 W","Exit 272 off I-15","Orem","UT",84057,"E","Public - Credit card at all times","NA","24 hours daily; Also accepts Sinclair card","A D M V GasCard Wright_Exp","Q",3000,40.308042,-111.731246,2017-06-02,"2017-06-02 16:54:10 UTC","P","NA","NA","NA","HD","67"
"68",28523,"CNG","City of Barstow","100 N Sandstone Ct","LCNG station. I-15 to Highway 58, right on W Main St, left on Sandstone Ct.","Barstow","CA",92311,"E","Public - Credit card at all times","NA","24 hours daily; Also accepts Fleetstar card","M V Voyager","Q",3600,34.88657,-117.078969,2016-03-07,"2017-12-20 16:24:41 UTC","LG","NA","NA","NA","HD","68"
"69",29168,"CNG","Clean Energy - Downtown Tucson","1744 E Winsett St","Kino Blvd and Winsett St","Tucson","AZ",85719,"E","Public - Credit card at all times","NA","24 hours daily; call 866-809-4869 for Clean Energy card","D M V CleanEnergy FuelMan Voyager Wright_Exp","Q",0,32.214543,-110.945209,2017-08-02,"2017-08-02 18:58:20 UTC","P","NA","NA","NA","HD","69"
"70",29350,"CNG","Robertson's Palmdale Honda","455 Auto Vista Dr","Exit I-210 at Sierra Madre Villa and turn north, proceed to Foothill Blvd and turn right, and the station is on the right.","Palmdale","CA",93551,"E","Public - Credit card at all times","NA","24 hours daily","D M V Voyager","Q",0,34.5937334,-118.1381027,2017-05-04,"2017-05-04 13:18:25 UTC","P","NA","NA","NA","HD","70"
"71",30616,"CNG","Hutch's C-Store #801","515 S Main St","NA","Elk City","OK",73644,"E","Public - Credit card at all times","NA","24 hours daily","A D M V Voyager Wright_Exp","Q",3600,35.4057939,-99.4049236,2017-11-02,"2017-11-02 17:35:28 UTC","P","NA","NA","NA","HD","71"
